"","Site.Name","Date","Month","Year","COUNTY","meanlat","meanlong","PM2.5","Ozone"
"1","Bryson City",2018-01-01,1,2018,"Swain",35.434767,-83.442133,35,NA
"2","Bryson City",2018-01-02,1,2018,"Swain",35.434767,-83.442133,51,NA
"3","Bryson City",2018-01-03,1,2018,"Swain",35.434767,-83.442133,44,NA
"4","Bryson City",2018-01-04,1,2018,"Swain",35.434767,-83.442133,28,NA
"5","Bryson City",2018-01-05,1,2018,"Swain",35.434767,-83.442133,30,NA
"6","Bryson City",2018-01-06,1,2018,"Swain",35.434767,-83.442133,35,NA
"7","Bryson City",2018-01-07,1,2018,"Swain",35.434767,-83.442133,54,NA
"8","Bryson City",2018-01-08,1,2018,"Swain",35.434767,-83.442133,71,NA
"9","Bryson City",2018-01-09,1,2018,"Swain",35.434767,-83.442133,78,NA
"10","Bryson City",2018-01-10,1,2018,"Swain",35.434767,-83.442133,56,NA
"11","Bryson City",2018-01-11,1,2018,"Swain",35.434767,-83.442133,17,NA
"12","Bryson City",2018-01-12,1,2018,"Swain",35.434767,-83.442133,10,NA
"13","Bryson City",2018-01-13,1,2018,"Swain",35.434767,-83.442133,18,NA
"14","Bryson City",2018-01-14,1,2018,"Swain",35.434767,-83.442133,28,NA
"15","Bryson City",2018-01-15,1,2018,"Swain",35.434767,-83.442133,43,NA
"16","Bryson City",2018-01-16,1,2018,"Swain",35.434767,-83.442133,52,NA
"17","Bryson City",2018-01-17,1,2018,"Swain",35.434767,-83.442133,37,NA
"18","Bryson City",2018-01-18,1,2018,"Swain",35.434767,-83.442133,48,NA
"19","Bryson City",2018-01-19,1,2018,"Swain",35.434767,-83.442133,52,NA
"20","Bryson City",2018-01-20,1,2018,"Swain",35.434767,-83.442133,51,NA
"21","Bryson City",2018-01-21,1,2018,"Swain",35.434767,-83.442133,50,NA
"22","Bryson City",2018-01-22,1,2018,"Swain",35.434767,-83.442133,48,NA
"23","Bryson City",2018-01-23,1,2018,"Swain",35.434767,-83.442133,17,NA
"24","Bryson City",2018-01-24,1,2018,"Swain",35.434767,-83.442133,18,NA
"25","Bryson City",2018-01-25,1,2018,"Swain",35.434767,-83.442133,26,NA
"26","Bryson City",2018-01-26,1,2018,"Swain",35.434767,-83.442133,52,NA
"27","Bryson City",2018-01-27,1,2018,"Swain",35.434767,-83.442133,58,NA
"28","Bryson City",2018-01-28,1,2018,"Swain",35.434767,-83.442133,28,NA
"29","Bryson City",2018-01-29,1,2018,"Swain",35.434767,-83.442133,12,NA
"30","Bryson City",2018-01-30,1,2018,"Swain",35.434767,-83.442133,19,NA
"31","Bryson City",2018-01-31,1,2018,"Swain",35.434767,-83.442133,40,NA
"32","Bryson City",2018-02-01,2,2018,"Swain",35.434767,-83.442133,55,NA
"33","Bryson City",2018-02-02,2,2018,"Swain",35.434767,-83.442133,15,NA
"34","Bryson City",2018-02-03,2,2018,"Swain",35.434767,-83.442133,28,NA
"35","Bryson City",2018-02-04,2,2018,"Swain",35.434767,-83.442133,38,NA
"36","Bryson City",2018-02-05,2,2018,"Swain",35.434767,-83.442133,25,NA
"37","Bryson City",2018-02-06,2,2018,"Swain",35.434767,-83.442133,58,NA
"38","Bryson City",2018-02-07,2,2018,"Swain",35.434767,-83.442133,29,NA
"39","Bryson City",2018-02-08,2,2018,"Swain",35.434767,-83.442133,23,NA
